IDMARCA,MARCA
0,SNBC
1,
3,MICROSOFT
4,CREATIVE
5,HP
6,KIESLECT
8,ARMOR
10,"PAPELES,TONER,ETC"
12,COMPITT
13,GTC
14,FULLMARK
15,ANTRIEB
16,CANON
17,LEXMARK
18,IMATION
19,INTEL
20,BROTHER
22,KINGSTON
23,TRV
24,SAMSUNG
26,ASUS
27,KINGSTON PROPIETARIAS
29,ROLLOS VARIOS
30,REPUSTOS EPSON
32,ACCESORIOS
33,PINNACLE
34,SONY
35,FUJI
36,ENCORE
37,BENQ
38,MSI
39,LOOSAFE
40,GENIUS
41,FURUKAWA
47,PAPELES Y FORM. CONTINUOS
51,REPUESTOS HASAR
52,HASAR
54,BISWAL
56,APC
57,CIFRA
60,AVERMEDIA
62,LINKSYS
63,LOGITECH
64,SMC
65,LITE ON
67,TOSHIBA
68,KODAK ALARIS
69,SAMSUNG IMPRESORAS
70,WESTERN DIGITAL
77,QUICK LINE
81,EVGA
83,GIGABYTE
84,ACCESORIOS CX
88,ACCESORIOS CX
89,AMD
90,CX
91,PORT DESIGNS
93,GENERAL ELECTRIC
94,
96,DISCONTINUOS
98,BIOSTAR
99,SUR ELECTRIC
101,SEAGATE
102,CODEGEN(UXSA)
103,PERFORMANCE
106,MAENI
114,MEMOX
115,COOLER MASTER
117,RADIATEL
120,SYMANTEC
121,ESQUEMA
122,CLEAN TECH SPRAY
123,HONEYWELL
124,ADVANTEC
126,CLEARONE
130,PC AIR / PC ARM
130,PC AIR / PC ARM
131,FUNDAS PC
133,ZONET
136,JDOE
138,REPUESTO EPSON
139,MANHATTAN
140,TP-LINK
141,GLC
142,NOBLEX
145,BAGS
146,PRINTING
147,RAYOVAC
148,GAMEMAX
150,GABITEL
152,SCREEN CLEANER
153,DCELL
155,DELL ENTERPRISE
156,D-LINK
157,VERBATIM
158,NOGANET
159,THERMALTAKE
162,CONECTAR
169,WAVLINK
171,GRANDING
172,X-TECH
173,KLIP-XTREME
174,ARKHAM
175,VORTEX
176,DIALN
177,OEM
185,ELF
188,EATON
191,ASUS NB
200,CLARO
202,STYLOS
204,CASIO
212,GRALF
213,K-WORLD
215,TRIPLE KIT
218,XPG
220,LEXAR
222,LENOVO
225,QNAP
230,HUAWEI
239,CAMBIOS
250,LENOVO DCG
251,OSTER
255,HUBBEL
256,PACIFIC WIRELESS
257,HELERMAN TYTON
258,EMERSON
259,UBIQUITI
260,MOTOROLA
286,GREENFOX
301,HILOOK
321,NEWLAND
325,THONET & VANDER
333,MKT
369,SABRENT
374,SMARTLIFE
445,TELEPRINTER
501,TERRAGENE S.R.L
503,MAMASU SRL
506,ANTMINER
518,AMPLIUX
529,AIROLDI
549,GRUPO TRONIK
551,ACER
554,K-WORLD
558,FOXBOX
561,SCHNEIDER ELECTRIC
562,INELRO
564,JBL
599,CYGNUS
600,AIRLIVE
601,DAHUA
603,HIKVISION
604,ZKTEKO
605,HEWLET PACKARD ENTERPRISE
606,HIKSEMI
654,MEGGA
669,RCA
766,PANASONIC
773,SYX
774,TENDA
777,PHILLIPS
778,EZVIZ
779,GA.MA
781,NEXXT
787,ADATA
800,EPSON
801,CARTRONIC
803,LILIANA
808,KRETZ
845,SANDISK
860,NEO TECHNOLOGY
886,PRIMUS
901,PANELES SOLARES
909,REPUESTOS MONOPATINES Y SCOOTERS
928,WAHL
950,DELL COMPUTOS
966,XIAOMI
967,PEABODY
990,E-WIN
992,INTELAID
3121,OCOM